ID,cluster,membership
Japan_001,High Evaluation,0.38111396889476756
Japan_002,Low Evaluation,0.4609214257434318
Japan_003,Medium Evaluation,0.30251586425239874
Japan_004,Low Evaluation,0.4869289460382149
Japan_005,Low Evaluation,0.5336439355706173
Japan_006,High Evaluation,0.39375724073546897
Japan_007,Medium Evaluation,0.3411068167125219
Japan_008,Low Evaluation,0.4895360256648368
Japan_009,Medium Evaluation,0.31386684946952376
Japan_010,Mixed Evaluation,0.37329391015114216
Japan_011,Low Evaluation,0.4207725883525286
Japan_012,Mixed Evaluation,0.314808090263108
Japan_013,Mixed Evaluation,0.28956939757238814
Japan_014,Medium Evaluation,0.35370728912134375
Japan_015,High Evaluation,0.44742923761488906
Japan_016,Low Evaluation,0.4684477445438946
Japan_017,High Evaluation,0.4056553545857397
Japan_018,High Evaluation,0.5581529153576036
Japan_019,Medium Evaluation,0.3342787607135734
Japan_020,Low Evaluation,0.42686634355666664
Japan_021,Low Evaluation,0.447934198165877
Japan_022,Mixed Evaluation,0.2815672643488773
Japan_023,Low Evaluation,0.2945959555328176
Japan_024,Low Evaluation,0.40195350960022835
Japan_025,Mixed Evaluation,0.27359482707511334
Japan_026,Low Evaluation,0.3381900231713951
Japan_027,Medium Evaluation,0.30263124591913954
Japan_028,Medium Evaluation,0.3283309228308504
Japan_029,High Evaluation,0.5442301858385743
Japan_030,High Evaluation,0.3756843115839198
Singapore_001,Low Evaluation,0.2808958652839664
Singapore_002,High Evaluation,0.5220570285072319
Singapore_003,Low Evaluation,0.3186625615824157
Singapore_004,Low Evaluation,0.39764888792241176
Singapore_005,Medium Evaluation,0.2858831155906896
Singapore_006,Medium Evaluation,0.3247953197538799
Singapore_007,Mixed Evaluation,0.29015998833335965
Singapore_008,Low Evaluation,0.2798746811596443
Singapore_009,Mixed Evaluation,0.29752201061183364
Singapore_010,Low Evaluation,0.43891858516151916
Singapore_011,Medium Evaluation,0.3164953092238643
Singapore_012,High Evaluation,0.4575296826420234
Singapore_013,Mixed Evaluation,0.3169689759166515
Singapore_014,High Evaluation,0.37864374583039917
Singapore_015,Medium Evaluation,0.32160344199099983
Singapore_016,Medium Evaluation,0.32088797641919864
Singapore_017,Low Evaluation,0.38184695742666835
Singapore_018,Medium Evaluation,0.32291016040874826
Singapore_019,High Evaluation,0.40829071103723313
Singapore_020,Mixed Evaluation,0.32150860527521724
Singapore_021,High Evaluation,0.44558912714200416
Singapore_022,Low Evaluation,0.4425772329348272
Singapore_023,High Evaluation,0.30836928483329623
Singapore_024,High Evaluation,0.4169947522258027
Singapore_025,Low Evaluation,0.5478323823444355
Singapore_026,Low Evaluation,0.3689817074501756
Singapore_027,Mixed Evaluation,0.27423219541765986
Singapore_028,Medium Evaluation,0.3030151912423448
Singapore_029,Medium Evaluation,0.32326304873872824
Singapore_030,Low Evaluation,0.4914437061902868
